,edit_history_tweet_ids,id,text,topic
39,['1597437830770601985'],1597437830770601985,"@UOLNoticias Não é democracia. É um monte de besta em frente dos quartéis querendo reverter eleições limpas pedindo golpe, a família Bolsonaro já reconheceu o resultado, mas, usa as bestas pra causar tumulto,digo, O gado, desculpe se magoei.",Bolsonaro
40,['1597437827620671488'],1597437827620671488,"O ministro das comunicações do Governo Bolsonaro assistindo a #CopaDoMundo2022 na TV Globo no conforto do lar com sua família, enquanto os PATRIOTÁRIOS seguem tomando sol e chuva nas portas dos quartéis. Deixe sua risada! 😂😂😂 https://t.co/Aj8mUpoNF3",Bolsonaro
41,['1597437827285123072'],1597437827285123072,"@FernandoHoliday Divisão: 
direita x puxa sacos do Bolsonaro",Bolsonaro
42,['1597437809941696512'],1597437809941696512,"@MBLivre Muito obrigada MBL, por divulgar nossas manifestações em frente aos quartéis,  já que a mídia podre não divulga.  Quanto ao Eduardo Bolsonaro,  não me interessa,  estou nas ruas pelo meu país,  não por um único homem.",Bolsonaro
43,['1597437808851181569'],1597437808851181569,"@Iz3Lz @Yago_95fer @direita_pura @PATRlOTAS E quem vota na direita é o que? Enquanto o Bolsonaro e os filhos tão confortáveis ganhando muito dinheiro, indo pra copa e vivendo vida boa vcs vão pra frente de quartel pegar chuva e spray de pimenta. Bolsonaro é comprovadamente corrupto, desde a vida de vereador no RJ",Bolsonaro
44,['1597437802912055296'],1597437802912055296,"Brasil x Camarões, e ainda na
 Globo, é indejesto pro Bolsonaro. Por falar nisso, acabou as eleições, fim das internações. Agora é só alimentando o gado das falsas esperança que o Exército vai tomar o poder. Isso ainda vai dar cana prum monte de imbecil.É só esperar 1° de Janeiro",Bolsonaro
45,['1597437802727079936'],1597437802727079936,"@HenkinAlana @AndreJanonesAdv @BolsonaroSP A gente quer ver é Bolsonaro,pelo menos até o dia 31/12/2022
🤮🤮",Bolsonaro
46,['1597437798038245377'],1597437798038245377,"@djcesar06092 @rodrigoluisvelo @monark @alexandre Me admiro com a galera da direita ficar defendendo as regalias de bolsonaro, família e comparsas. Mansões luxuosas, pintação de clima com menores de idade, rachadinhas, sigilos e muito mais. Tá se cagando enquanto o dia 1 de janeiro se aproxima. Nunca será presidente de novo.",Bolsonaro
47,['1597437773966766080'],1597437773966766080,"É ISSO MESMO! Mark Zuckerberg PERDEU mais de US$ 100 BILHÕES em 1 ÚNICO ANO e DESPENCA em listas de bilionários! 

- - -
#: Sem Neymar , Lacrou , Bruno Guimarães , Everton Ribeiro, craque , Sarah , #ProvaDeFogo , Eduardo Bolsonaro , Brasil e França , BR-376 . https://t.co/nzXydYvQj3",Bolsonaro
48,['1597437769235955713'],1597437769235955713,@Rconstantino Não sou Bolsonarista e tu já disse que não é tbm mas parece que não pois a família Bolsonaro não são os únicos representantes da direita!,Bolsonaro
49,['1597437758254985216'],1597437758254985216,"@LosPollos666 @deangelisrafael @jairmearrependi Nosso movimento em frente aos quartéis, não é pelo Bolsonaro, e sim para que um ladrão corrupto safado, não venha governar nosso país, pois o mesmo teve ajudinha das putinhas dele e fraudaram essas eleições",Bolsonaro
50,['1597437756082642944'],1597437756082642944,"@CletoSposito @Yago_95fer @PATRlOTAS Cuidado que se a direita rachar é rapaz da família Bolsonaro dividir com os parentes, já que o negócio deles é rachadinha",Bolsonaro
51,['1597437752655876101'],1597437752655876101,"@atllas__ telezé, eu pensava que tinha seguido o bolsonaro pra aparecer ele, q susto",Bolsonaro
52,['1597437749656969216'],1597437749656969216,"#JuniorJ 
#bolsonaro #gleisihoffmann #blindado
Bolsonaro INVESTE pesado no EXÉRCITO e Gleisi Hoffmann dá CHILIQUE
*Tanques Amantes x ""Tanques$ Russos !""*
https://t.co/Sx9s4uk5eE https://t.co/Okw4c0b77a",Bolsonaro
53,['1597437739934572547'],1597437739934572547,"@rd12493055 @Damadeferroofic Se eles quisessem fazer isso, já teriam feito, eu acho, muitos já entenderam como ocorre a manifestação. E outra, Bolsonaro está calado quem insinua que ele incentiva isso, está literalmente mentindo",Bolsonaro
54,['1597437737623519234'],1597437737623519234,"@GabyLabree Gosto muito das suas postagens, sem segundas intenções, mas reparei que nem o Bolsonaro você  segue, só  uma curiosidade....",Bolsonaro
55,['1597437737162113024'],1597437737162113024,Eu tô ficando com ódio esse Eduardo bolsonaro vai assistir jogo da seleção brasileira no Catar que tem muitos babacas fechando rodovia impedindo dos motoristas sair da cidade pra outra por causa do bolsonaro esses bolsonaristas são muito idiotas mesmo,Bolsonaro
56,['1597437735165652992'],1597437735165652992,@ReginaRamao @eduardomoreira Putz família Bolsonaro conseguiu fazer os esquerdalhas se preocuparem com os patriotas q está na chuva!!!Bolsonaro e são fodas!!😂😂😂😂😂,Bolsonaro
57,['1597437734133854208'],1597437734133854208,@OJesseSilveira @AndreHenning Ta pq Bolsonaro perdeu.,Bolsonaro
58,['1597437702294544385'],1597437702294544385,"@Alberto03901478 @deangelisrafael @vaidesmaiar Ow SEU MOLEKE DOENTE IMBECIL, Por que no brasil tem 58 milhoes onde 95% são ricos fudidos que só pensam em se mesmos e que querem bolsonaro denovo por que ganharam muito dinheiro com o governo bolsonaro, e o pobre? o pobre ganhou o que? o pobre ganhou foi caristia no mercado",Bolsonaro
59,['1597437691419058176'],1597437691419058176,Postado a poucas horas no Bolsonaro Tv. https://t.co/VbmwT4q9fO,Bolsonaro
60,['1597437689498071041'],1597437689498071041,"- Você viu o Eduardo Bolsonaro na Copa??

- Vi, e daí!?

- Você vai continuar na rua, na chuva e ele passeando no Qatar!?

- Claro! Não tô na rua por causa do Eduardo Bolsonaro nem por causa de nenhum político, tô na rua por causa dos meus filhos, pela Liberdade e pelo meu país!",Bolsonaro
61,['1597437685547008005'],1597437685547008005,@jose_simao Se você não reparou o povo luta pelo Brasil e não pelo filho do Bolsonaro figura repulsiva. Você sintetiza a esquerda: sem graça e sem caráter.,Bolsonaro
62,['1597437676809965568'],1597437676809965568,@eduardomoreira Putz família Bolsonaro conseguiu fazer os esquerdalhas se preocuparem com os patriotas q está na chuva!!!Bolsonaro e são fodas!!😂😂😂😂😂,Bolsonaro
63,['1597437676734808064'],1597437676734808064,"@murilopsx @ConservSandro @ChagaLuccas @elysveiga @GFiuza_Oficial O PL se recusou a dar o relatório do primeiro turno porque mesmo tirando as tais 450 mil urnas ""com indícios"", bolsonaro perderia com percentual menor... E mesmo assim ele insistiram na cagada... Heheh...",Bolsonaro
64,['1597437640839933952'],1597437640839933952,"... agora, que esse Eduardo Bolsonaro é essa Zambeli desgastaram a imagem do Presidente, disso não tenho dúvidas. Mas continuo Bolsonaro, até debaixo d'água! https://t.co/m5qj2wEKqV",Bolsonaro
65,['1597437631562133504'],1597437631562133504,"@RomuloBDias Fiquem firmes bando de PATRIDIOSTAS kkkkkkk 🐄🍼🤡🐄🐄🐄🐄
ANISTIA NÃO
ANISTIA NÃO
BOLSONARO NA CADEIA
BOLSONARO NA CADEIA
ANISTIA NÃO
BOLSONARO NA CADEIA
MALAFAIA NA CADEIA
TERRORISTAS DO BOLSONARO
GOLPISTAS NA CADEIA
TCHAU QUERIDO 
BOLSONARO QUEBROU O BRASIL
BOLSONARISMO MATA",Bolsonaro
66,['1597437623932682240'],1597437623932682240,@77_frota E precisou do Eduardo Bolsonaro aparecer na TV para o consórcio noticiar que há patriotas na frente dos quartéis.,Bolsonaro
67,['1597437622426927104'],1597437622426927104,"@kakaulux53 @realpfigueiredo @Guilher18604572 @gilsonmachadont São muitas coisas envolvidas, muitas pessoas, muitas cabeças, não podemos esquecer que Bolsonaro está há 4 anos após quantos anos de esquerda? É muito complicado tudo isso. Mas seguimos com fé em Deus e vamos vencer.",Bolsonaro
68,['1597437614021545984'],1597437614021545984,"@Carla608311821 @rafacarrilhor Exatamente mudar a narrativa sem ideologia,apenas puro jogo de palavras para manter os panacas nas. A merda Lula e Bolsonaro.",Bolsonaro
69,['1597437600675299328'],1597437600675299328,@QuebrandoOTabu Turminha da bolha ainda não entendeu que não é mais sobre Lula ou Bolsonaro… https://t.co/MjMHm4yLz7,Bolsonaro
70,['1597437581926764546'],1597437581926764546,@lolaescreva Foi o bolsonaro que autorizou ele receber o valor?,Bolsonaro
71,['1597437573319692289'],1597437573319692289,"@Rconstantino Mas eles estão certo, Eduardo não tá nem aí, Flávio é quase que comprovadamente corrupto nas rachadinhas e Bolsonaro sumiu, tá calado se afastou, perdeu perdeu continua sendo líder tem que líderar o que acreditam nele não pra guerra mas pra próxima eleição porra",Bolsonaro
72,['1597437572963217408'],1597437572963217408,@LUIZPATRIOTA39 Vai apoiar o Bolsonaro entao!😀👏,Bolsonaro
73,['1597437571759755264'],1597437571759755264,"Governo Bolsonaro bloqueia R$ 5,7 bi e amplia risco de 'apagão em serviços'
Caso a nova trava precise ser implementada pela equipe econômica, o bloqueio total chegará a R$ 15,4 bilhões, deixando poucos recursos para a máquina pública

https://t.co/OPwbOhAJqJ",Bolsonaro
74,['1597437564520402944'],1597437564520402944,@jairbolsonaro E aí Bolsonaro já entregou o osso ou vai fazer igual o Trump causar uma guerra civil no Brasil.,Bolsonaro
75,['1597437560225419264'],1597437560225419264,"Me descupe, o mundo não gira somente no Umbigo do Eduardo Bolsonaro. Nossa luta é conhecida pela Bravura e Patriotismo do povo Brasileiro! https://t.co/e4qKqHK5D0",Bolsonaro
76,['1597437547969654785'],1597437547969654785,@NeliPereira13 @Simoura93147924 @palpiteiroprofi Grave: Generais estavam passando informações p Alexandre de Moraes sobre reuniões c Bolsonaro através d chefe d gabinete. Informação d jornalista Paulo Figueiredo da @JovemPanNews. Paulo é neto d Gen. Figueiredo e tem bons relacionamentos na área militar.  https://t.co/rw0nYV1kUS,Bolsonaro
77,['1597437531888713731'],1597437531888713731,"@octavio_guedes Amigo, não vi uma faixa escrito bolsonaro nos quartéis, acho q não estão lá por ele.... pesquise melhor",Bolsonaro
78,['1597437516906627072'],1597437516906627072,"@JornalOGlobo MENTIRA!!!
🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫
O MOVIMENTO NA FRENTE DOS QUARTÉIS, É DO POVO BRASILEIRO, E NÃO DE BOLSONARO!
🔰🇧🇷🔰🇧🇷🔰🇧🇷🔰🇧🇷🔰🇧🇷🔰🇧🇷
(Senão, estaríamos gritando na frente da casa dele).👍👍👍👍",Bolsonaro
79,['1597437513463103488'],1597437513463103488,@GloboNews @NatuzaNery @CesarTralli E agora vcs vão defender que o presidente não pode nomear alguém que seja amigo dele? O impedimento só valia p Bolsonaro?,Bolsonaro
80,['1597437501337047040'],1597437501337047040,"Como pode, né? O advento do teletransporte já existe e eu não fiquei sabendo. Veja o Eduardo Bolsonaro que consegue estar na copa do Catar e na câmara dos deputados ao mesmo tempo. https://t.co/E0LXeZkfkQ",Bolsonaro
81,['1597437498732720128'],1597437498732720128,@choquei Seus esquerdistas🗣️ Eduardo Bolsonaro já estava aí antes da Copa🇧🇷🫡AGORA FIQUEM COM PULGUINHA ATRÁS DA👂👂👂👂👂doidos pra saber pq?🤔 NÃO VAMOS LHES CONTAR DE JEITO NENHUM🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Bolsonaro
82,['1597437494030913537'],1597437494030913537,"@LUIZPATRIOTA39 Aguardem!!! Logo vai acontecer uma coisa bombástica, Eduardo Bolsonaro já teve com Sheraz Uppal, 72 horas só passa rápido!!",Bolsonaro
83,['1597437479707377665'],1597437479707377665,"@mysalvationcam @Pexte_Rosso @JiiveshDevaBR @eduardoramalhoc @ErnestoRosiane @jscheiner_ @GuilhermeGFS_ @choquei Alguma coisa que sua mãe tá fazendo de errado então ou o governo do estado

Pq isso n tem nada a ver a culpa do Bolsonaro",Bolsonaro
84,['1597437476054130689'],1597437476054130689,"Se não há nada de errado, se não existe problema nenhum em o Eduardo Bolsonaro ter ido pro Qatar, então por que ele foi na surdina, escondidinho, sem nenhum aviso?",Bolsonaro
85,['1597437432030371841'],1597437432030371841,"Acho incrível o Cristão ter medo de Lula que prega a igualdade social e o fim da fome e preferir Bolsonaro que se declara ""a favor da tortura"" e diz que é ""especialista em matar"".",Bolsonaro
